Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	17	5.841924399	1.61E-14	"VKORC1, CYP2J5, CYP2C38, CYP2D26, CYP2C37, CYP2C69, CYP26A1, CYP2D12, CYP2D9, CYP2C68, CYP2D34, CYP2C67, CYP2D10, CYP2C54, CYP2D40, CYP1A2, CYP2F2"	235	95	20136	15.3331243	1.93E-11	1.29E-11	1.27E-11
GOTERM_BP_DIRECT	GO:0042738~exogenous drug catabolic process	14	4.810996564	2.15E-14	"CYP2J5, CYP2C38, CYP2D26, CYP2C37, CYP2C69, CYP2D12, CYP2D9, CYP2C68, CYP2D34, CYP2C67, CYP2D10, CYP2C54, CYP1A2, CYP2F2"	235	52	20136	23.0690671	2.57E-11	1.29E-11	1.27E-11
GOTERM_BP_DIRECT	GO:0006082~organic acid metabolic process	13	4.467353952	4.87E-13	"CYP2J5, CYP2C38, CYP2D26, CYP2C37, CYP2C69, CYP2D12, CYP2D9, CYP2C68, CYP2D34, CYP2C67, CYP2D10, CYP2C54, CYP2F2"	235	51	20136	21.84130163	5.84E-10	1.95E-10	1.92E-10
GOTERM_BP_DIRECT	GO:0042572~retinol metabolic process	11	3.780068729	8.28E-11	"RDH16F2, CYP2D12, CYP2D9, CYP2D34, CYP2D10, CYP1A2, RDH7, CYP2D40, ADH7, RDH1, CYP2D26"	235	45	20136	20.94524823	9.95E-08	2.44E-08	2.40E-08
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	16	5.498281787	1.02E-10	"HSD3B5, G6PC, RDH7, CYP7B1, CYP51, CYP2D26, CYP27A1, RDH16F2, CYP2D12, CYP2D9, CYP2D34, CYP2D10, CYP2D40, CYP1A2, HSD17B2, RDH1"	235	141	20136	9.723132639	1.22E-07	2.44E-08	2.40E-08
GOTERM_BP_DIRECT	GO:0019369~arachidonic acid metabolic process	11	3.780068729	1.32E-10	"CYP2C37, CYP4A12A, CYP2D12, CYP2D9, CYP2D34, CYP2D10, CYP2C54, CYP4A32, CYP1A2, CYP2D26, CYP2C38"	235	47	20136	20.05396107	1.58E-07	2.64E-08	2.59E-08
GOTERM_BP_DIRECT	GO:0009820~alkaloid metabolic process	7	2.405498282	1.88E-10	"CYP2D12, CYP2D9, CYP2D34, CYP2D10, CYP1A2, CYP2D40, CYP2D26"	235	9	20136	66.64397163	2.26E-07	3.23E-08	3.18E-08
GOTERM_BP_DIRECT	GO:0016098~monoterpenoid metabolic process	7	2.405498282	4.67E-10	"CYP2D12, CYP2D9, CYP2D34, CYP2D10, CYP1A2, CYP2D40, CYP2D26"	235	10	20136	59.97957447	5.60E-07	6.23E-08	6.12E-08
GOTERM_BP_DIRECT	GO:0051100~negative regulation of binding	7	2.405498282	4.67E-10	"CYP2D12, CYP2D9, CYP2D34, CYP2D10, P2RY1, CYP2D40, CYP2D26"	235	10	20136	59.97957447	5.60E-07	6.23E-08	6.12E-08
GOTERM_BP_DIRECT	GO:0046483~heterocycle metabolic process	7	2.405498282	1.02E-09	"CYP2D12, CYP2D9, CYP2D34, CYP2D10, CYP1A2, CYP2D40, CYP2D26"	235	11	20136	54.52688588	1.22E-06	1.22E-07	1.20E-07
